k,a,result
1,0.1,4.120776
1,0.5,4.120605
1,1,4.120549
2,0.1,4.117632
2,0.5,4.114391
2,1,4.113339
3,0.1,4.217385
3,0.5,4.158401
3,1,4.140795
4,0.1,4.687381
4,0.5,4.271598
4,1,4.195606
5,0.1,4.389822
5,0.5,4.179908
5,1,4.174468
6,0.1,4.134511
6,0.5,4.158547
6,1,4.180983
7,0.1,4.123310
7,0.5,4.170727
7,1,4.192417
8,0.1,4.186715
8,0.5,4.212029
8,1,4.222275
9,0.1,4.148797
9,0.5,4.189086
9,1,4.206104
10,0.1,4.158520
10,0.5,4.195091
10,1,4.210406
11,0.1,4.166557
11,0.5,4.199953
11,1,4.213857
12,0.1,4.173215
12,0.5,4.203883
12,1,4.216606
13,0.1,4.178898
13,0.5,4.207197
13,1,4.218907
14,0.1,4.183751
14,0.5,4.209993
14,1,4.220835
15,0.1,4.187913
15,0.5,4.212363
15,1,4.222459
16,0.1,4.208006
16,0.5,4.223710
16,1,4.230178
17,0.1,4.194855
17,0.5,4.216274
17,1,4.225125
18,0.1,4.197745
18,0.5,4.217888
18,1,4.226221
19,0.1,4.200340
19,0.5,4.219331
19,1,4.227198
