seq,alpha,k,entropy
sequence1.txt,0.001,1,2.102689967925683
sequence1.txt,0.01,1,2.0956914732275638
sequence1.txt,0.1,1,2.095123264518964
sequence1.txt,1.0,1,2.13490820675743
sequence1.txt,0.001,2,2.1767618686921915
sequence1.txt,0.01,2,2.150589006006957
sequence1.txt,0.1,2,2.146159777627597
sequence1.txt,1.0,2,2.262133889366716
sequence1.txt,0.001,3,2.449382238790429
sequence1.txt,0.01,3,2.340643280957487
sequence1.txt,0.1,3,2.3012030628971636
sequence1.txt,1.0,3,2.5675819250325387
sequence1.txt,0.001,4,3.126095548438665
sequence1.txt,0.01,4,2.8113495741291215
sequence1.txt,0.1,4,2.6726947707592394
sequence1.txt,1.0,4,3.127644030435235
sequence1.txt,0.001,5,4.8331562473200576
sequence1.txt,0.01,5,3.9472168989146286
sequence1.txt,0.1,5,3.4376766372943557
sequence1.txt,1.0,5,3.7859572412292417
sequence1.txt,0.001,6,5.7538078856593415
sequence1.txt,0.01,6,4.679143234302613
sequence1.txt,0.1,6,4.064616565393511
sequence1.txt,1.0,6,4.161093179038881
sequence1.txt,0.001,7,4.832036549131387
sequence1.txt,0.01,7,4.4143243258197336
sequence1.txt,0.1,7,4.206924800990335
sequence1.txt,1.0,7,4.264907413184995
sequence1.txt,0.001,8,4.51821115738086
sequence1.txt,0.01,8,4.36644623821063
sequence1.txt,0.1,8,4.289881856300668
sequence1.txt,1.0,8,4.3052192139032375
sequence1.txt,0.001,9,4.39583764369506
sequence1.txt,0.01,9,4.345130847578117
sequence1.txt,0.1,9,4.317440214263778
sequence1.txt,1.0,9,4.31845813436029
sequence1.txt,0.001,10,4.33670246533929
sequence1.txt,0.01,10,4.325738140590034
sequence1.txt,0.1,10,4.320093203683448
sequence1.txt,1.0,10,4.320901097547608
sequence1.txt,0.001,11,4.326813420109798
sequence1.txt,0.01,11,4.323528029397863
sequence1.txt,0.1,11,4.321712177387913
sequence1.txt,1.0,11,4.321729372344009
sequence1.txt,0.001,12,4.32360736974271
sequence1.txt,0.01,12,4.322693378381776
sequence1.txt,0.1,12,4.322101312068722
sequence1.txt,1.0,12,4.321948981363193
sequence1.txt,0.001,13,4.3219281437660015
sequence1.txt,0.01,13,4.3219281437660015
sequence1.txt,0.1,13,4.3219281437660015
sequence1.txt,1.0,13,4.3219281437660015
sequence1.txt,0.001,14,4.3219281437660015
sequence1.txt,0.01,14,4.3219281437660015
sequence1.txt,0.1,14,4.3219281437660015
sequence1.txt,1.0,14,4.3219281437660015
sequence1.txt,0.001,15,4.3219281437660015
sequence1.txt,0.01,15,4.3219281437660015
sequence1.txt,0.1,15,4.3219281437660015
sequence1.txt,1.0,15,4.3219281437660015
sequence2.txt,0.001,1,3.387554950203734
sequence2.txt,0.01,1,3.376546630961617
sequence2.txt,0.1,1,3.377801800255146
sequence2.txt,1.0,1,3.442947733320533
sequence2.txt,0.001,2,3.0084122855098308
sequence2.txt,0.01,2,2.9528903568645606
sequence2.txt,0.1,2,2.9762996241248687
sequence2.txt,1.0,2,3.2847536387968437
sequence2.txt,0.001,3,2.993662315039761
sequence2.txt,0.01,3,2.83848980809132
sequence2.txt,0.1,3,2.943317859943596
sequence2.txt,1.0,3,3.6941322975156723
sequence2.txt,0.001,4,3.4910303214172895
sequence2.txt,0.01,4,3.1981815083539775
sequence2.txt,0.1,4,3.406582948747566
sequence2.txt,1.0,4,4.459837396792899
sequence2.txt,0.001,5,4.303523498763097
sequence2.txt,0.01,5,3.9085143680111982
sequence2.txt,0.1,5,4.167659307912853
sequence2.txt,1.0,5,5.195428329287477
sequence2.txt,0.001,6,5.024312946235155
sequence2.txt,0.01,6,4.654343347816098
sequence2.txt,0.1,6,4.912585201500887
sequence2.txt,1.0,6,5.723845386888711
sequence2.txt,0.001,7,5.545821833151752
sequence2.txt,0.01,7,5.268866330923618
