k,a,result
1,0.1,4.322517
1,0.5,4.336721
1,1,4.353655
2,0.1,3.894827
2,0.5,3.972686
2,1,4.052554
3,0.1,3.744837
3,0.5,3.987652
3,1,4.192770
4,0.1,4.027482
4,0.5,4.428984
4,1,4.718441
5,0.1,4.606163
5,0.5,5.036139
5,1,5.314059
6,0.1,5.216427
6,0.5,5.566704
6,1,5.781015
7,0.1,5.715346
7,0.5,5.951528
7,1,6.098661
8,0.1,6.695020
8,0.5,6.590582
8,1,6.578964
9,0.1,6.327355
9,0.5,6.373353
9,1,6.425207
10,0.1,6.486276
10,0.5,6.472044
10,1,6.497070
11,0.1,6.581172
11,0.5,6.527959
11,1,6.536524
12,0.1,6.636500
12,0.5,6.559103
12,1,6.557930
13,0.1,6.667719
13,0.5,6.576044
13,1,6.569332
14,0.1,6.685353
14,0.5,6.585338
14,1,6.575493
15,0.1,6.696030
15,0.5,6.590822
15,1,6.579087
16,0.1,6.713041
16,0.5,6.599340
16,1,6.584598
17,0.1,6.706205
17,0.5,6.595962
17,1,6.582426
18,0.1,6.708757
18,0.5,6.597230
18,1,6.583245
19,0.1,6.710406
19,0.5,6.598046
19,1,6.583769
